participant	subject_type	task	run	roi	hemisphere	condition	y	type_of_y
sub-0000	pilot	gic	run-010	GFPalt	RH	Iris	0.386577461522483	beta_z-score
sub-0000	pilot	gic	run-010	Marquardt2017GFP	LH	Iris	-0.33165440427075993	beta_z-score
sub-0000	pilot	gic	run-010	Marquardt2017GFP	RH	Iris	-0.026696547010216294	beta_z-score
sub-0000	pilot	gic	run-011	GFP	LH	Gaze	0.40934742563415033	beta_z-score
sub-0000	pilot	gic	run-011	GFP	RH	Gaze	0.44903753604469876	beta_z-score
sub-0000	pilot	gic	run-011	GazeCubes	LH	Gaze	-0.8860185257633173	beta_z-score
sub-0000	pilot	gic	run-011	GazeCubes	RH	Gaze	-0.961659290247837	beta_z-score
sub-0000	pilot	gic	run-011	fMotionArea	LH	Gaze	0.8763159214732822	beta_z-score
sub-0000	pilot	gic	run-011	fMotionArea	RH	Gaze	0.030677369935551542	beta_z-score
sub-0000	pilot	gic	run-011	GFPalt	LH	Gaze	0.3287539221405364	beta_z-score
sub-0000	pilot	gic	run-011	GFPalt	RH	Gaze	0.3131822635821459	beta_z-score
sub-0000	pilot	gic	run-011	Marquardt2017GFP	LH	Gaze	0.4814270157238209	beta_z-score
sub-0000	pilot	gic	run-011	Marquardt2017GFP	RH	Gaze	-0.3128011785534121	beta_z-score
sub-0000	pilot	gic	run-011	GFP	LH	Cubes	1.0188891395914887	beta_z-score
sub-0000	pilot	gic	run-011	GFP	RH	Cubes	1.8683626447246078	beta_z-score
sub-0000	pilot	gic	run-011	GazeCubes	LH	Cubes	-1.1204558007204986	beta_z-score
sub-0000	pilot	gic	run-011	GazeCubes	RH	Cubes	-1.530616885308244	beta_z-score
sub-0000	pilot	gic	run-011	fMotionArea	LH	Cubes	1.8638548288794972	beta_z-score
sub-0000	pilot	gic	run-011	fMotionArea	RH	Cubes	0.4193887227270476	beta_z-score
sub-0000	pilot	gic	run-011	GFPalt	LH	Cubes	0.5107197617510661	beta_z-score
sub-0000	pilot	gic	run-011	GFPalt	RH	Cubes	-0.2187080568955691	beta_z-score
sub-0000	pilot	gic	run-011	Marquardt2017GFP	LH	Cubes	1.2083953807931607	beta_z-score
sub-0000	pilot	gic	run-011	Marquardt2017GFP	RH	Cubes	1.4344544672542292	beta_z-score
sub-0000	pilot	gic	run-011	GFP	LH	Iris	0.20755168674023522	beta_z-score
sub-0000	pilot	gic	run-011	GFP	RH	Iris	0.7484192999119447	beta_z-score
sub-0000	pilot	gic	run-011	GazeCubes	LH	Iris	-0.47292321825563055	beta_z-score
sub-0000	pilot	gic	run-011	GazeCubes	RH	Iris	-1.0904952251000415	beta_z-score
sub-0000	pilot	gic	run-011	fMotionArea	LH	Iris	0.6580516629104584	beta_z-score
sub-0000	pilot	gic	run-011	fMotionArea	RH	Iris	0.4681909205527592	beta_z-score
sub-0000	pilot	gic	run-011	GFPalt	LH	Iris	0.3713674370599564	beta_z-score
sub-0000	pilot	gic	run-011	GFPalt	RH	Iris	-0.035838230130619875	beta_z-score
sub-0000	pilot	gic	run-011	Marquardt2017GFP	LH	Iris	0.49827000254274106	beta_z-score
sub-0000	pilot	gic	run-011	Marquardt2017GFP	RH	Iris	0.23012885225231064	beta_z-score
