participant,session,task,event_type,covariate,time,GFP_left,GFP_right,fMotionArea_left,fMotionArea_right,GazeCubes_left,GazeCubes_right,Marquardt2017GFP_left,Marquardt2017GFP_right
sub_0000,ses_com,gic,Cubes_2,intercept,0.825,-0.0662955029465764,-0.00292717013317427,-0.0273245982547091,-0.0820990842417511,-0.179058485413441,-0.270840760746181,0.0481816976844936,-0.0132442687784005
sub_0000,ses_com,gic,Cubes_2,intercept,0.9,-0.0762813739155427,-0.0102158313832623,-0.0152738697493893,-0.0693689744768075,-0.194611672081882,-0.255773840693494,0.0506067176298108,0.00136264719973099
sub_0000,ses_com,gic,Cubes_2,intercept,0.975,-0.0847874679427312,-0.0189390192998102,-0.00305755333133158,-0.0562933938247685,-0.208576201666845,-0.238583243444175,0.0528689389073044,0.0157378241252824
sub_0000,ses_com,gic,Cubes_2,intercept,1.05,-0.0916086293740348,-0.0289433624542516,0.00926464500735379,-0.0429052354504476,-0.220761744249575,-0.219527914780847,0.0550385282494775,0.0298232483064986
sub_0000,ses_com,gic,Cubes_2,intercept,1.125,-0.0965753337292424,-0.0400571347176383,0.0216364831459758,-0.029243536631081,-0.231011722345383,-0.198899630338827,0.0571900272081187,0.0435666729499901
sub_0000,ses_com,gic,Cubes_2,intercept,1.2,-0.0995568934136673,-0.0520933423773547,0.0340065026817347,-0.0153530162492139,-0.239205990730368,-0.177017924295712,0.0594012861367599,0.056922703935454
sub_0000,ses_com,gic,Cubes_2,intercept,1.275,-0.100463869186492,-0.0648530259301385,0.0463292254472861,-0.00128348164333148,-0.245262809997224,-0.154224542224939,0.0617523176268516,0.069853792131371
sub_0000,ses_com,gic,Cubes_2,intercept,1.35,-0.0992496417556348,-0.0781287147371218,0.0585662015501185,0.0129108847257641,-0.249140078011891,-0.130877521322055,0.0643240876349273,0.0823311116794175
sub_0000,ses_com,gic,Cubes_2,intercept,1.425,-0.0959111148173062,-0.0917079705389288,0.070686886974599,0.0271723456972152,-0.250835797978233,-0.107345007890586,0.0671972639375713,0.0943353054163406
sub_0000,ses_com,gic,Cubes_2,intercept,1.5,-0.0904885383485788,-0.105376954863769,0.0826693324081486,0.0414405214340658,-0.250387776744464,-0.0839989265499768,0.0704509426002056,0.105857080714836
sub_0000,ses_com,gic,Cubes_2,intercept,1.575,-0.0830644586440308,-0.118923955629889,0.0945006689302229,0.0556533754673602,-0.247872562009315,-0.0612086180172137,0.0741613738218434,0.116897641473672
sub_0000,ses_com,gic,Cubes_2,intercept,1.65,-0.0737618191099991,-0.132142809732817,0.106177380455844,0.069748255425664,-0.243403641913347,-0.0393345624747797,0.0784007088052974,0.127468944729536
sub_0000,ses_com,gic,Cubes_2,intercept,1.725,-0.0627412528430011,-0.144836161081177,0.117705357268365,0.0836629677416433,-0.237128944840567,-0.0187223034720378,0.0832357891925652,0.137593773350532
sub_0000,ses_com,gic,Cubes_2,intercept,1.8,-0.0501976241835827,-0.156818497343461,0.129099729519381,0.097336864663815,-0.229227690826897,0.000303316940413745,0.0887270000974118,0.147305619450853
